chain_clean,year,avg_rating,review_vol,neg_share,AvgLikes,VarRating,revenue,cp_index,income_pop,FemaleShare,avg_sentiment,search_index
иль де ботэ,2015.0,3.4,50,0.28,6.52,3.26530612244898,17.9,112.9,97.6,0.5367,0.037641877604818505,32.333333333333336
иль де ботэ,2016.0,4.381944444444445,144,0.0763888888888889,5.798611111111111,1.5384129759129745,20.08,105.4,95.5,0.5366,0.05263507761737028,35.75
иль де ботэ,2017.0,3.8620689655172415,174,0.22413793103448276,2.1551724137931036,2.9172812437711797,19.02,105.27,99.5,0.5364,0.05224745132950942,38.666666666666664
иль де ботэ,2018.0,3.7433155080213902,187,0.22994652406417113,4.144385026737968,2.890748088091542,19.86,101.62,100.7,0.5361,0.05341271511020804,42.916666666666664
иль де ботэ,2019.0,3.6713947990543736,423,0.20567375886524822,5.515366430260047,2.54342150964113,19.88,104.98,101.2,0.5359,0.06378133906648183,35.75
иль де ботэ,2020.0,3.8405172413793105,464,0.1961206896551724,4.801724137931035,2.527426081775528,15.72,102.29,98.0,0.5358,0.0713972835049536,28.5
иль де ботэ,2021.0,3.3948919449901767,509,0.30844793713163066,4.552062868369352,3.1724935414507374,15.28,106.1,103.3,0.5355,0.03501965707168629,18.583333333333332
иль де ботэ,2022.0,3.5080906148867315,309,0.32362459546925565,3.98705501618123,3.406590173580465,5.71,110.0,104.5,0.5349,0.051813186853730764,9.5
иль де ботэ,2023.0,3.937352245862884,846,0.18085106382978725,2.565011820330969,2.513230377551166,8.61,111.15,106.1,0.5352,0.06588356766301262,13.166666666666666
иль де ботэ,2024.0,4.027415143603133,766,0.17493472584856398,1.4869451697127938,2.4659140940971707,8.2,107.21,107.3,0.5353,0.05978952526280683,10.083333333333334
лэтуаль,2015.0,3.21875,64,0.34375,9.25,3.4117063492063497,70.0,112.9,97.6,0.5367,0.019733383261023797,3.5
лэтуаль,2016.0,3.2560975609756095,82,0.34146341463414637,2.451219512195122,3.3286660644384227,66.1,105.4,95.5,0.5366,0.004511773549939878,3.75
